Name,Category,Created,Created by,Description,LIFA Relevance,Link,Type
The 4-Hour Workweek,"Learning, Tactical","Dec 11, 2019 10:47 PM",Tim Ferris,A collection of tactics and mindset-advice to approach the location-independent lifestyle,high,https://is.muni.cz/el/1423/podzim2013/SOC932/um/43553173/FERRISS_Timothy_-_The_4-Hour_Workweek.pdf,Book
The Art of Gig,"Inner Game, Learning","Dec 14, 2019 9:30 PM",Venkatesh Rao,a weekly newsletter on the deep fun and inner game of gigwork for those jumping into the free-agent economy with gigwork,high,https://artofgig.substack.com,Newsletter
The Memo,References,"Dec 16, 2019 9:24 AM",Christopher Deluca,"A weekly curated compilation for those who want a remote-job in tech startups ",medium,https://thememo.substack.com/,Newsletter
Getting Things Done,Learning,"Dec 16, 2019 9:59 AM",David Allen,A methodology to add self-structure needed in LIFA lifestyle,high,https://en.wikipedia.org/wiki/Getting_Things_Done,Methodology
Pioneer.app,"Community, Funding","Dec 16, 2019 10:05 AM",Daniel Gross,"A fully remote-accelerator that gives first money, mentorship and community to ambitious outsiders. Gatekeeping-free. ",high,pioneer.app,Website
Emergent Ventures,Funding,"Dec 16, 2019 10:08 AM",Tyler Cowen (Mercatus Center),"A fellowship and grant program for projects that aim for high impact. From making podcast to indie research to making software. ",high,https://www.mercatus.org/emergentventures,Website
Gumroad,"Creation, Payments","Dec 16, 2019 10:12 AM",Sahil Lavingia,A no-nonsense platform for digital product creators to sell direct to consumers,high,http://gumroad.com/,Platform
"Substack ","Creation, Payments","Dec 16, 2019 10:15 AM",Nathan Baschez,A platform made and optimized for writing newsletters - with free or paid subscription model,high,https://substack.com/,Platform
Transferwise,Payments,"Dec 16, 2019 10:17 AM","Taavet Hinrikus, Kristo Käärmann","A better alternative to PayPal for cross-border payments - 1% fee, quick transfers",medium,https://transferwise.com,"Tool, Website"
"The Strategic Independent ",Learning,"Dec 11, 2019 10:47 PM",Tom Critchlow,"How to do better indie work for more money, whether you're a designer, writer or strategist",high,https://tomcritchlow.com/2019/04/04/the-strategic-independent/,Blogpost
IndieHackers,Community,"Dec 16, 2019 10:20 AM",Courtland Allen,"A community to share your creation, ask for advice and discover fellow indiehackers",medium,https://www.indiehackers.com/,Forum
Glide,Creation,"Dec 16, 2019 10:20 AM",David Siegel & Others,Turn a spreadsheet into a slick mobile app,medium,https://www.glideapps.com/,"No-Code, Tool"
Loom,Collaboration,"Dec 16, 2019 10:29 AM",Vinay Hiremath,"A free screen & video-recording tool, instantly shareable videos",medium,https://www.loom.com,Tool
Makerpad,Creation,"Dec 16, 2019 10:33 AM",Ben Tossell,A curated repository of no-code tools with video tutorials to build without coding,high,makerpad.co,"No-Code, Video, Website"
Naval Podcast,"Learning, Strategic","Dec 16, 2019 11:12 AM",Naval Ravikant,A micro-podcast where Naval explains his aphorisms about what works for creating wealth,high,https://open.spotify.com/show/7qZAVw03FuurfYnWIWwkHY,Podcast
Paul Graham's Essays,"Learning, Strategic","Dec 16, 2019 11:15 AM",Paul Graham,Paul's concise essays on creating wealth & insights from YC startups among other things,high,http://www.paulgraham.com/articles.html,Blog
Patreon,Payments,"Dec 16, 2019 11:19 AM",Jack Conte,A recurring-subscription model platform for creators to get direct financial support from fans,high,https://www.patreon.com/,Platform
Product Hunt,"Community, Promotion","Dec 16, 2019 11:25 AM",Ryan Hoover,"A platform to list, discover and promote early-adopter apps, websites, digital products",medium,https://producthunt.com,Platform
Forte Labs,Community,"Dec 16, 2019 11:29 AM",Tiago Forte,"A slack channel for productivity-centered discussions among knowledge workers. Also the community around Tiago Forte's courses on personal-knowledge-management and David Perell's course on web-writing. ",medium,https://fortelabs.slack.com/,Slack Channel
Earnest Capital,"Funding, Strategic","Dec 16, 2019 11:35 AM",Tyler Tringas,Shared-Earnings based funding for profitable software businesses,medium,https://earnestcapital.com,Website
Hustle Fund,Funding,"Dec 16, 2019 11:34 AM",Elizabeth Yin,"Pre-Seed fund for software businesses in the US, Canada, and SouthEast Asia",medium,hustlefund.vc,Pre-Seed
Zapier,Automation,"Jan 06, 2020 2:03 PM",Wade Foster & Others,Connect apps you use to automate repeating tasks,high,https://zapier.com/,Tool
unDraw,Creation,"Jan 09, 2020 6:05 PM",Katerina Limpitsouni,"Open source illustrations, icons ",high,https://undraw.co,Website
